check_id,check_name,status,profile,evidence,affected_file,recommendation
LH-FIN-roe,roe availability,PASS,both,"non_null=3654994, announcement_violations=0, fallback_violations=0, fallback_days=30",data/features/daily_features,禁止使用 signal_date 之后才公告或 fallback 未满滞后期的财务字段。
LH-FIN-net_profit_ttm_effective,net_profit_ttm_effective availability,PASS,both,"non_null=3674369, announcement_violations=0, fallback_violations=0, fallback_days=30",data/features/daily_features,禁止使用 signal_date 之后才公告或 fallback 未满滞后期的财务字段。
LH-FIN-latest_net_profit,latest_net_profit availability,PASS,both,"non_null=3674369, announcement_violations=0, fallback_violations=0, fallback_days=30",data/features/daily_features,禁止使用 signal_date 之后才公告或 fallback 未满滞后期的财务字段。
LH-FIN-cfo_ttm,cfo_ttm availability,PASS,both,"non_null=3632366, announcement_violations=0, fallback_violations=0, fallback_days=30",data/features/daily_features,禁止使用 signal_date 之后才公告或 fallback 未满滞后期的财务字段。
LH-FIN-debt_to_assets,debt_to_assets availability,PASS,both,"non_null=3674293, announcement_violations=0, fallback_violations=0, fallback_days=30",data/features/daily_features,禁止使用 signal_date 之后才公告或 fallback 未满滞后期的财务字段。
LH-FIN-dv_ttm,dv_ttm availability,PASS,both,"non_null=3674369, announcement_violations=0, fallback_violations=0, fallback_days=30",data/features/daily_features,禁止使用 signal_date 之后才公告或 fallback 未满滞后期的财务字段。
LH-FIN-pe_ttm,pe_ttm availability,PASS,both,"non_null=2753406, announcement_violations=0, fallback_violations=0, fallback_days=30",data/features/daily_features,禁止使用 signal_date 之后才公告或 fallback 未满滞后期的财务字段。
LH-FIN-pb,pb availability,PASS,both,"non_null=3667711, announcement_violations=0, fallback_violations=0, fallback_days=30",data/features/daily_features,禁止使用 signal_date 之后才公告或 fallback 未满滞后期的财务字段。
LH-FIN-stock_pb_q_5y,stock_pb_q_5y availability,PASS,both,"non_null=3667711, announcement_violations=0, fallback_violations=0, fallback_days=30",data/features/daily_features,禁止使用 signal_date 之后才公告或 fallback 未满滞后期的财务字段。
LH-FIN-stock_pb_q_10y,stock_pb_q_10y availability,PASS,both,"non_null=3667711, announcement_violations=0, fallback_violations=0, fallback_days=30",data/features/daily_features,禁止使用 signal_date 之后才公告或 fallback 未满滞后期的财务字段。
LH-FIN-stock_pb_q_blended,stock_pb_q_blended availability,PASS,both,"non_null=3667711, announcement_violations=0, fallback_violations=0, fallback_days=30",data/features/daily_features,禁止使用 signal_date 之后才公告或 fallback 未满滞后期的财务字段。
