check_id,check_name,status,expected,actual,diff,source_files,recommendation
RPT-001,audit_summary annual_return matches execution_mode_compare,PASS,0.071352024769,0.071400000000,4.7975231274186014e-05,reports/backtest/audit/combined_v2_audit_summary.md; reports/backtest/audit/execution_mode_compare.csv,审计摘要必须引用 next_bar 严格主口径。
RPT-002,audit_summary total_trades matches trades_detailed,PASS,76,76,0,reports/backtest/audit/combined_v2_audit_summary.md; reports/backtest/combined_v2_trades_detailed.csv,成交数必须来自 trades_detailed 行数。
RPT-003,attribution_report realized_pnl matches trade attribution,PASS,38533.83,present,,reports/backtest/attribution/combined_v2_attribution_report.md; reports/backtest/attribution/combined_v2_trade_attribution.csv,归因 markdown 必须展示与 CSV 一致的已实现收益。
RPT-004,attribution_report unrealized_pnl matches position attribution,PASS,5481.87,present,,reports/backtest/attribution/combined_v2_attribution_report.md; reports/backtest/attribution/combined_v2_position_attribution.csv,归因 markdown 必须展示与 CSV 一致的未实现收益。
RPT-005,monthly_returns chain matches final NAV,PASS,0,0.000000000000,2.220446049250313e-16,reports/backtest/attribution/combined_v2_monthly_returns.csv,月收益复合必须等于 final_nav / initial_capital - 1。
RPT-006,daily MTM regime pnl matches portfolio pnl,PASS,43928.880906,43928.880906,0.0,reports/backtest/attribution/combined_v2_daily_regime_attribution.csv; reports/backtest/audit/execution_mode_compare.csv,daily MTM regime attribution 的 daily_pnl 合计必须等于组合最终收益。
RPT-007,signal attribution total_pnl matches portfolio pnl,PASS,44015.699894,44015.699894,-7.275957614183426e-12,reports/backtest/attribution/combined_v2_signal_attribution.csv; reports/backtest/attribution/combined_v2_position_attribution.csv,entry_signal 口径的 total_pnl 合计必须覆盖 realized + unrealized。
RPT-008,bucket attribution total_pnl matches portfolio pnl,PASS,44015.699894,44015.699894,0.0,reports/backtest/attribution/combined_v2_bucket_attribution.csv,bucket attribution 必须统一 total_pnl 口径。
RPT-009,industry attribution total_pnl matches portfolio pnl,PASS,44015.699894,44015.699894,-7.275957614183426e-12,reports/backtest/attribution/combined_v2_industry_attribution.csv,industry attribution 必须统一 total_pnl 口径。
RPT-010,attribution markdown contains entry signal attribution,PASS,contains phrase,contains,,reports/backtest/attribution/combined_v2_attribution_report.md,归因报告必须显式展示 entry signal attribution。
RPT-011,attribution markdown contains daily MTM regime attribution,PASS,contains phrase,contains,,reports/backtest/attribution/combined_v2_attribution_report.md,归因报告必须显式展示 daily MTM regime attribution。
RPT-012,attribution markdown no longer contains legacy signal line,PASS,absent,absent,,reports/backtest/attribution/combined_v2_attribution_report.md,旧 signal BUY_1 realized-only 行必须从当前归因报告中移除。
