check_id,check_name,status,expected,actual,evidence,recommendation
MODE-001,release guard mode,PASS,ci hash-only checks,ci hash-only checks,scripts/run_release_guard.py,CI 模式不重跑完整回测，不写行情数据，不生成真实订单。
RG-001,report freshness check,PASS,no FAIL,PASS=14 WARN=0 FAIL=0,scripts/check_report_freshness.py,刷新有旧口径或自相矛盾的报告。
RG-002,release sync consistency check,PASS,no FAIL,PASS=31 WARN=0 FAIL=0,scripts/check_release_sync_consistency.py,发布同步报告不得含过期结论。
RG-003,report path sanitization check,PASS,no FAIL,PASS=35 WARN=0 FAIL=0,scripts/check_report_path_sanitization.py,公开报告不得包含本机路径或 secret。
RG-004,observation gate consistency check,PASS,no FAIL,PASS=13 WARN=0 FAIL=0,scripts/check_observation_gate_consistency.py,observation allowed/blocked 状态必须一致。
RG-005,combined_v2 RC hash-only verification,PASS,no FAIL,PASS=20 WARN=0 FAIL=0,scripts/verify_combined_v2_rc.py --mode hash-only,CI 只验证 manifest/hash/已提交小型报告，不重跑完整回测。
RG-006,forbidden tracked files check,PASS,no FAIL,PASS=6 WARN=0 FAIL=0,scripts/check_forbidden_tracked_files.py,移除大体量数据、真实账本、订单文件或 secret。
GIT-MANUAL-001,manual order and action files are not tracked,PASS,no tracked manual_order_list/actions files,none,git ls-files reports/observation/* action/manual pathspecs,手工清单和 actions 是本地观察产物，不得进入公开提交。
GIT-LEDGER-001,real paper ledger files are not tracked,PASS,no tracked real paper ledger files,none,git ls-files data/observation/paper_*,真实 paper ledger 必须保持本地 ignored，只提交 fixtures/observation 示例模板。
OBS-CONFLICT-001,observation report does not keep allowed and blocked current reports together,PASS,allowed summary without current observation_blocked.md,allowed=True; summary_exists=True; blocked_current=False,reports/observation/2026-05-04,freshness 允许观察时，当前主路径不得同时保留 blocked 报告。
OBS-WORDING-001,observation summary has no active execution wording,PASS,no live execution or auto-order wording,none,reports/observation/2026-05-04/observation_summary.md,观察报告只能作为手工复核材料，不得写成今日实盘执行或自动下单。
CFG-HASH-strategy_v2,config/strategy_v2.yml hash matches RC manifest,PASS,2d1d303f0e845a0d44279c4c60438604bad1e10cd3eea6e5c6a0152b5c7b2a04,2d1d303f0e845a0d44279c4c60438604bad1e10cd3eea6e5c6a0152b5c7b2a04,config/strategy_v2.yml,配置 hash 漂移意味着 RC 口径不再冻结，必须停止发布。
CFG-HASH-universe_rules_v2,config/universe_rules_v2.yml hash matches RC manifest,PASS,edf1b3ed04cd63dca1ca546f1a07641e84e1f3808aac166abef34e895264c2a8,edf1b3ed04cd63dca1ca546f1a07641e84e1f3808aac166abef34e895264c2a8,config/universe_rules_v2.yml,配置 hash 漂移意味着 RC 口径不再冻结，必须停止发布。
